Time,Vehicle ID,X Coordinate,Y Coordinate
1.0,0,2.01,-312.3499949886684
2.0,0,2.01,-310.9161438008364
2.0,1,88.37146089945574,-16.340000000000032
3.0,0,2.01,-306.8827961136643
3.0,1,88.37213736969399,-18.701557601718264
3.0,2,107.78999999999999,-1.9499999999999886
4.0,0,2.01,-300.67641214632374
4.0,1,88.37320438980586,-22.426524812248545
4.0,2,109.77725570789538,-1.9499999999999886
4.0,3,320.53999999999996,-129.51749799304255
5.0,0,2.01,-292.04391479313523
5.0,1,88.37473519492153,-27.77056547106247
5.0,2,113.25797532548663,-1.9499999999999886
5.0,3,318.21854529251345,-129.51635911150734
5.0,4,15.26,-330.5429360967185
6.0,0,2.01,-281.3755574213698
6.0,1,88.37676067091691,-34.8415021709493
6.0,2,118.74830886380282,-1.9499999999999886
6.0,3,313.43410102579276,-129.51401191291072
6.0,4,17.46563350096345,-330.54420589148015
6.0,5,334.76717425431707,-214.26
7.0,0,2.02,-268.28644036872817
7.0,1,88.379283070605,-43.64719948206101
7.0,2,125.72142545470037,-1.9499999999999886
7.0,3,306.9231943250261,-129.5108177298
7.0,4,21.97326899419073,-330.5468009608487
7.0,5,334.7664072564678,-215.64430328497198
7.0,6,320.52999751411244,2.009999999999991
8.0,0,2.02,-254.6885992239854
8.0,1,88.38,-54.72264523050751
8.0,2,134.0950862510223,-1.9499999999999886
8.0,3,298.6196843535267,-129.50674411416864
8.0,4,28.87768357604742,-330.5507758684951
8.0,5,334.7647087136081,-218.70989005629906
8.0,6,318.80246714413994,2.015064271055678
8.0,7,2.01,-312.3499949886684
9.0,0,2.02,-241.20936996300503
9.0,1,88.38,-67.42359842994097
9.0,2,144.21634158288595,-1.9499999999999886
9.0,3,288.6293711066106,-129.50184297039394
9.0,4,37.468045340329404,-330.555721384767
9.0,5,334.76205715241605,-223.4955160810519
9.0,6,315.570572239243,2.019999999999982
9.0,7,2.01,-310.37049592915747
9.0,8,334.76717425431707,-214.26
10.0,0,2.01,-227.7358965773205
10.0,1,88.38230639406603,-80.07175092735014
10.0,2,151.66325880380697,-4.138435075955044
10.0,3,277.1561168460734,-129.4962143111813
10.0,4,47.77453671038616,-330.56165488584367
10.0,5,334.7583616749331,-230.16523702492938
10.0,6,309.74848896334396,2.019999999999982
10.0,7,2.01,-305.96190245223346
10.0,8,334.7665618666951,-215.36525759304652
10.0,9,92.39885367498313,-181.23000000000002
11.0,0,2.01,-213.65068477972187
11.0,1,88.38481808510568,-93.05468191125422
11.0,10,92.38901334881021,-114.74000000000001
11.0,2,154.06898901184962,-11.731331262609103
11.0,3,264.19677825724705,-129.48985659445322
11.0,4,59.81966032787691,-330.5685893266136
11.0,5,334.7535050963705,-238.93055190063546
11.0,6,301.52989222510405,2.019999999999982
11.0,7,2.01,-299.60384495601335
11.0,8,334.76456256676624,-218.97366074806564
11.0,9,92.39840076913042,-179.21502186129337
12.0,0,2.0,-199.76126069343553
12.0,1,88.38726379484058,-105.69655553095805
12.0,10,92.3886816221518,-113.02530490263365
12.0,11,88.40093603744148,-213.43
12.0,2,154.05437901900004,-22.010922231569964
12.0,3,249.56307035875108,-129.4826774495561
12.0,4,73.52531215584968,-330.5764797421738
12.0,5,334.7477079658686,-249.3934062681068
12.0,6,291.02178501865126,2.0299999999999727
12.0,7,2.01,-291.56756983229707
12.0,8,334.7618335288311,-223.8991193812879
12.0,9,92.39753812632448,-175.3771240176121
13.0,0,1.9899999999999998,-185.07560324127158
13.0,1,88.38942011673387,-116.84258339742428
13.0,10,92.38792572669651,-109.11808129426558
13.0,11,88.40124180241479,-215.09596045703628
13.0,12,378.82,-326.61
13.0,2,154.03839904788347,-33.25442990918248
13.0,3,234.61564894854695,-129.47534440007288
13.0,4,87.08430679130164,-330.58338685477315
13.0,5,334.7414077606516,-260.76422665058556
13.0,6,278.0953389087599,2.0299999999999727
13.0,7,2.01,-281.25569127502
13.0,8,334.7578858363592,-231.02404634429183
13.0,9,92.39633103126013,-170.0067580763204
14.0,0,1.98,-171.2032833212156
14.0,1,88.88346347456287,-123.45873214679435
14.0,10,92.3868891368044,-103.75994814192876
14.0,11,88.40189435005017,-218.65136624837294
14.0,12,376.70232524082996,-326.61
14.0,13,106.52,-199.14045484949835
14.0,2,154.02706962134894,-41.22581441888667
14.0,3,220.38070356055835,-129.4683608839161
14.0,4,100.97683341865822,-330.5897073855408
14.0,5,334.7354034815091,-271.60094978970784
14.0,6,264.12725522197184,2.0299999999999727
14.0,7,2.02,-269.7553574715935
14.0,8,334.75285544117344,-240.10307125540268
14.0,9,92.39457894440285,-162.21172364830971
15.0,0,1.98,-156.8278365641245
15.0,1,89.37778645136022,-126.08919382845258
15.0,10,92.38557840413294,-96.98477096318734
15.0,11,88.40288711546499,-224.06044861108066
15.0,12,373.2460940722423,-326.61
15.0,13,108.43895072066691,-199.14062599337532
15.0,14,158.02724843661173,-41.10000000000002
15.0,2,154.02190089275084,-44.86253186052295
15.0,3,206.37000311189604,-129.46148737999425
15.0,4,115.12816060120556,-330.59000000000003
15.0,5,334.72942350403565,-282.3938124663126
15.0,6,250.23887311665408,2.0299999999999727
15.0,7,2.02,-257.74338994283903
15.0,8,334.7470228126501,-250.62999363537006
15.0,9,92.39250210461016,-152.97186341059395
16.0,0,1.9699999999999998,-143.117082098129
16.0,1,89.37932151653729,-126.0918635070214
16.0,10,92.38377020752833,-87.6382027139515
16.0,11,88.40414980003526,-230.94018549215514
16.0,12,368.16273889269684,-326.61
16.0,13,112.08007550139912,-199.1409507313714
16.0,14,158.03037761865247,-38.89830751612317
16.0,15,92.38901334881021,-114.74000000000001
16.0,2,154.02156483040787,-45.09898532503945
16.0,3,192.47123520508285,-129.4546687890133
16.0,4,129.21438867579567,-330.59000000000003
16.0,5,334.7232694415206,-293.5008696289283
16.0,6,236.27775770084276,2.0399999999999636
16.0,7,2.02,-245.81553450257786
16.0,8,334.7399568375479,-263.38290103229207
16.0,9,92.39018785228227,-142.67575480377766
17.0,0,1.96,-128.67344256776715
17.0,1,89.37950470501306,-126.0921820956749
17.0,10,92.38147379492126,-75.76804594803605
17.0,11,88.4058681483327,-240.3026061907364
17.0,12,361.7118219238753,-326.61
17.0,13,117.7235730759846,-199.1414540533401
17.0,14,158.03636870282313,-34.68298069364391
17.0,15,92.388735037224,-113.30140741086566
17.0,16,173.1800024816092,-1.9600000000000364
17.0,2,154.02142851606675,-45.19489609544513
17.0,3,177.51469758578983,-129.44733126721275
17.0,4,142.81545211891287,-330.59000000000003
17.0,5,334.7170971167253,-304.64088716351966
17.0,6,222.49766084031072,2.0399999999999636
17.0,7,2.02,-234.5154123108162
17.0,8,334.7331074012772,-275.7449919281983
17.0,9,93.6226706128572,-137.11874336579027
18.0,0,1.9499999999999997,-113.97679781697542
18.0,1,89.37957175964007,-126.09229871241754
18.0,10,92.38,-62.24343826147731
18.0,11,88.40793557063924,-251.5669566278998
18.0,12,353.15543774860447,-326.61
18.0,13,125.8086555661913,-199.14217513093124
18.0,14,158.04603964600994,-27.878505067410913
18.0,15,92.38803172159875,-109.66596894395539
18.0,16,175.42803468579527,-1.9600000000000364
18.0,17,74.28,2.0385076810533747
18.0,2,154.02142531458756,-45.19714865620267
18.0,3,163.3391613731721,-129.4403768965795
18.0,4,156.5986165240468,-330.6
18.0,5,334.71268381434794,-312.60616240427447
18.0,6,208.60019129936546,2.0399999999999636
18.0,7,2.01,-222.72292274747076
18.0,8,334.7262610849333,-288.10145187617564
18.0,9,98.69373809500084,-133.77580223029105
19.0,0,1.9499999999999997,-99.93708891068343
19.0,1,90.23636157219042,-127.57478758432939
19.0,10,92.38,-47.478034506098254
19.0,11,88.41047894758712,-265.42454592848196
19.0,12,345.07579548229603,-326.22698820883767
19.0,13,136.09340787318536,-199.14309238866207
19.0,14,158.05880360456283,-18.897783829597813
19.0,15,92.38699030578454,-104.28289060025477
19.0,16,180.1518994867777,-1.9600000000000364
19.0,17,72.38829678701703,2.0379541468286675
19.0,18,92.41906396255851,-312.2
19.0,2,154.0214231005134,-45.19870647878645
19.0,3,148.34152395817998,-129.4330192116466
19.0,4,169.8153994716804,-330.6
19.0,5,334.7107638169849,-316.0714376450293
19.0,6,194.89235572828898,2.0399999999999636
19.0,7,2.0,-211.0329911381602
19.0,8,334.7205823227497,-298.350671157217
19.0,9,105.55569359293064,-133.41202892826342
20.0,0,1.94,-86.0535508751627
20.0,1,92.19116738577493,-130.35773099751066
20.0,10,92.37606524971713,-32.413786762525035
20.0,11,88.41307911319574,-279.5915482469415
20.0,12,339.55307997646554,-321.93905842171097
20.0,13,148.26039738273715,-199.14417751593157
20.0,14,158.06594621621502,-13.872242271110451
20.0,15,92.38566564317145,-97.43570955319797
20.0,16,186.21131124116414,-1.9600000000000364
20.0,17,68.15649535739328,2.0367158728184904
20.0,18,92.41870437538783,-310.24078930062245
20.0,19,158.02724843661173,-41.10000000000002
20.0,2,154.02142280820425,-45.198912147502256
20.0,3,134.13122408188096,-129.42604778632153
20.0,4,183.1177411295613,-330.6
20.0,5,334.7106183537531,-316.33397453456195
20.0,6,180.63968155758133,2.0399999999999636
20.0,7,2.0,-198.94421960592874
20.0,8,334.7169824822041,-304.84778336853554
20.0,9,114.56804397914343,-133.41645029362996
21.0,0,1.9499999999999997,-72.3118200397887
21.0,1,96.91517567101734,-132.7382279509412
21.0,10,92.37303911172127,-21.849539018951873
21.0,11,88.41551667521306,-292.8726048983307
21.0,12,338.71189304882756,-314.0333623743816
21.0,13,162.69408873206007,-199.14546480167067
21.0,14,158.06827450824676,-12.234055997578423
21.0,15,92.38389807545066,-88.29915200449528
21.0,16,193.69339998697382,-1.9600000000000364
21.0,17,62.59912558036856,2.0350897221887863
21.0,18,92.4178888309886,-305.7972956414102
21.0,19,158.02941863120657,-39.57305108306463
21.0,2,154.02142280820425,-45.198912147502256
21.0,3,120.51494544486022,-129.4193677816383
21.0,4,196.59595892686843,-330.6
21.0,5,334.7105641027433,-316.431888565411
21.0,6,170.39589737963325,2.0399999999999636
21.0,7,1.9899999999999998,-186.95538102555417
21.0,8,334.71490871670767,-308.59058446205324
21.0,9,125.34660574588636,-133.4217381439303
22.0,0,1.9499999999999997,-58.14800337242781
22.0,1,104.32332998201527,-133.4114243434931
22.0,10,92.37117338440673,-15.336284963904234
22.0,11,88.41769601004948,-304.746710754568
22.0,12,338.7177262041751,-303.5054891645632
22.0,13,177.57780469709147,-199.14679222338438
22.0,14,158.0684796280129,-12.0897337301177
22.0,15,92.38165196606447,-76.68901258721951
22.0,16,202.7057057526202,-1.9600000000000364
22.0,17,55.650771712413984,2.0330565535368805
22.0,18,92.41681966535539,-299.97194668881133
22.0,19,158.0345548172029,-35.9592306160601
22.0,2,154.02142280820425,-45.198912147502256
22.0,3,110.62426008340853,-129.41451551426803
22.0,4,209.72685091676104,-330.6
22.0,5,334.7105567190798,-316.4452148474194
22.0,6,164.06082279046123,1.5080500752080752
22.0,7,1.9899999999999998,-175.64192066040425
22.0,8,334.7148045968806,-308.77850339666236
22.0,9,136.98195414525168,-133.42744632484158
23.0,0,1.96,-44.54994651359857
23.0,1,113.60389271439499,-133.41597729104714
23.0,10,92.37057433301436,-13.244996553109047
23.0,11,88.41904942949634,-312.1208166108054
23.0,12,338.72475147316476,-290.82604951648426
23.0,13,193.10021172255418,-199.14817660751152
23.0,14,158.06857691985388,-12.021279190808116
23.0,15,92.38,-63.973886301502034
23.0,16,213.0833017600954,-1.9600000000000364
23.0,17,46.21345685787499,2.030295086132469
